X,Y,fid,TIPO,icon_url
-109.911102,22.892984,"431",PRIMARIA,
-110.308128,24.133297,"432",PRIMARIA,
-110.31852,24.070043,"433",PRIMARIA,
-110.308796,24.025666,"434",SECUNDARIA,
-110.294963,24.159722,"435",PRIMARIA,
-109.92429,22.946803,"436",PREESCOLAR,
-111.632774,24.934944,"437",SECUNDARIA,
-111.356401,26.017915,"438",PRIMARIA,
-114.298148,27.134183,"439",SECUNDARIA,
-110.291437,24.172279,"440",PREESCOLAR,
-112.198097,26.001379,"441",SECUNDARIA,
-109.932461,22.891312,"442",PREESCOLAR,
-109.70914,23.132359,"443",PRIMARIA,
-110.291246,24.162073,"444",PRIMARIA,
-111.227,24.8403,"445",INICIAL GENERAL,
-111.918909,25.489623,"446",PREESCOLAR,
-112.109899,25.190375,"447",SECUNDARIA,
-109.589321,23.592614,"448",SECUNDARIA,
-109.924232,22.917938,"449",PREESCOLAR,
-109.94067,22.892072,"450",PRIMARIA,
-113.148,26.8232,"451",INICIAL GENERAL,
-109.715076,23.119127,"452",PRIMARIA,
-109.720171,23.095011,"453",PRIMARIA,
-112.478992,26.256916,"454",PRIMARIA,
-110.744722,23.960833,"455",INICIAL GENERAL,
-111.648398,25.039756,"456",PRIMARIA,
-110.413587,24.09568,"457",PRIMARIA,
-110.963262,24.485279,"458",PRIMARIA,
-110.314753,24.110639,"459",PREESCOLAR,
-109.719472,23.105079,"460",PRIMARIA,
-113.443388,27.64903,"461",PRIMARIA,
-110.334213,24.129947,"462",PREESCOLAR,
-110.298121,24.139833,"463",PRIMARIA,
-111.691734,25.071192,"464",PRIMARIA,
-109.959008,22.906733,"465",PRIMARIA,
-111.985318,26.89084,"466",PREESCOLAR,
-109.84345,23.737255,"467",PREESCOLAR,
-111.776627,25.254235,"468",PREESCOLAR,
-111.342894,26.011625,"469",PREESCOLAR,
-109.92382,22.951013,"470",SECUNDARIA,
-109.92382,22.951013,"471",SECUNDARIA,
-111.899417,25.427637,"472",PRIMARIA,
-113.454,27.6184,"473",PRIMARIA,
-110.32522,24.114365,"474",PRIMARIA,
-110.965,24.886,"475",PRIMARIA,
-109.946172,22.937775,"476",PREESCOLAR,
-111.609,26.7186,"477",PRIMARIA,
-109.940458,22.92487,"478",PRIMARIA,
-110.815419,24.812697,"479",PRIMARIA,
-109.704437,23.088144,"480",PRIMARIA,
-111.647621,25.023281,"481",SECUNDARIA,
-109.934802,22.901187,"482",PREESCOLAR,
-109.94612,22.938185,"483",PRIMARIA,
-109.709326,23.131795,"484",PREESCOLAR,
-110.324592,24.11632,"485",SECUNDARIA,
-111.826978,25.115287,"486",PRIMARIA,
-110.291784,24.171983,"487",PRIMARIA,
-110.282401,24.020698,"488",PREESCOLAR,
-109.71363,23.118877,"489",SECUNDARIA,
-109.71363,23.118877,"490",SECUNDARIA,
-110.340776,24.14053,"491",SECUNDARIA,
-110.340776,24.14053,"492",SECUNDARIA,
-110.424373,24.11026,"493",PREESCOLAR,
-113.015468,27.598043,"494",PRIMARIA,
-112.259967,27.330536,"495",PRIMARIA,
-110.296262,24.167198,"496",PRIMARIA,
-110.314018,24.117755,"497",PRIMARIA,
-110.311,24.1422,"498",SECUNDARIA,
-109.946034,22.900312,"499",PRIMARIA,
-113.442,27.6483,"500",PREESCOLAR,
-109.690538,23.137074,"501",PREESCOLAR,
-110.30133,24.16455,"502",PRIMARIA,
-109.987,23.1694,"503",PRIMARIA,
-110.328048,24.135076,"504",PRIMARIA,
-111.628356,25.257988,"505",PRIMARIA,
-112.908213,27.297063,"506",PRIMARIA,
-110.267318,24.147019,"507",SECUNDARIA,
-111.834483,26.038381,"508",SECUNDARIA,
-110.304571,24.143658,"509",PRIMARIA,
-112.895815,27.282426,"510",PREESCOLAR,
-109.96374,22.912851,"511",PRIMARIA,
-110.327555,24.093456,"512",PRIMARIA,
-109.727797,23.107298,"513",PRIMARIA,
